System elec. CE,System nat. gas CE,Total CE ex equip,Total system CE,CoSP rooms heating CE [obs],CoSP rooms cooling CE [obs],CoSP rooms humid. CE [obs],CoSP rooms dehum. CE [obs],CoSP mech vent htg CE [obs],CoSP mech vent clg CE [obs],CoSP mech vent dehum CE [obs],System LPG CE,System biogas CE,System oil CE,System coal CE,System anthracite CE,System smokeless CE,System dual fuel CE,System biomass CE,System elec. (misc.) CE,System grid disp. elec. CE,System waste heat CE,System Misc. A CE,System Misc. B CE,System Misc. C CE,System Misc. D CE,System Misc. E CE,System Misc. F CE,System Misc. G CE,System Misc. H CE,System Misc. I CE,System Misc. J CE,System Misc. K CE,System Misc. L CE,System Misc. M CE,System Misc. N CE,System Misc. O CE,System Misc. P CE,System Misc. Q CE,System Misc. R CE,System Misc. S CE,System Misc. T CE,System Misc. U CE,System Misc. V CE,System Misc. W CE,System Misc. X CE,System Misc. Y CE,System Misc. Z CE,System grid disp. elec. PV CE,System bivalent heating CE,Lights nat. gas CE,Lights LPG CE,Lights biogas CE,Lights oil CE,Lights coal CE,Lights anthracite CE,Lights smokeless CE,Lights dual fuel CE,Lights biomass CE,Lights elec. CE,Lights grid disp. elec. CE,Lights waste heat CE,Lights Misc. A CE,Lights Misc. B CE,Lights Misc. C CE,Lights Misc. D CE,Lights Misc. E CE,Lights Misc. F CE,Lights Misc. G CE,Lights Misc. H CE,Lights Misc. I CE,Lights Misc. J CE,Lights Misc. K CE,Lights Misc. L CE,Lights Misc. M CE,Lights Misc. N CE,Lights Misc. O CE,Lights Misc. P CE,Lights Misc. Q CE,Lights Misc. R CE,Lights Misc. S CE,Lights Misc. T CE,Lights Misc. U CE,Lights Misc. V CE,Lights Misc. W CE,Lights Misc. X CE,Lights Misc. Y CE,Lights Misc. Z CE,Total lights CE,Equip nat. gas CE,Equip LPG CE,Equip biogas CE,Equip oil CE,Equip coal CE,Equip anthracite CE,Equip smokeless CE,Equip dual fuel CE,Equip biomass CE,Equip elec. CE,Equip grid disp. elec. CE,Equip waste heat CE,Equip Misc. A CE,Equip Misc. B CE,Equip Misc. C CE,Equip Misc. D CE,Equip Misc. E CE,Equip Misc. F CE,Equip Misc. G CE,Equip Misc. H CE,Equip Misc. I CE,Equip Misc. J CE,Equip Misc. K CE,Equip Misc. L CE,Equip Misc. M CE,Equip Misc. N CE,Equip Misc. O CE,Equip Misc. P CE,Equip Misc. Q CE,Equip Misc. R CE,Equip Misc. S CE,Equip Misc. T CE,Equip Misc. U CE,Equip Misc. V CE,Equip Misc. W CE,Equip Misc. X CE,Equip Misc. Y CE,Equip Misc. Z CE,Total equip CE,Total nat. gas CE,Total LPG CE,Total biogas CE,Total oil CE,Total coal CE,Total anthracite CE,Total smokeless CE,Total dual fuel CE,Total biomass CE,Total elec. CE,Total elec. (misc.) CE,Total grid disp. elec. CE,Total waste heat CE,Total Misc. A CE,Total Misc. B CE,Total Misc. C CE,Total Misc. D CE,Total Misc. E CE,Total Misc. F CE,Total Misc. G CE,Total Misc. H CE,Total Misc. I CE,Total Misc. J CE,Total Misc. K CE,Total Misc. L CE,Total Misc. M CE,Total Misc. N CE,Total Misc. O CE,Total Misc. P CE,Total Misc. Q CE,Total Misc. R CE,Total Misc. S CE,Total Misc. T CE,Total Misc. U CE,Total Misc. V CE,Total Misc. W CE,Total Misc. X CE,Total Misc. Y CE,Total Misc. Z CE,Total grid disp. elec. PV CE,Total bivalent heating CE,Total CE,NCM heating CE,NCM cooling CE,NCM CH(C)P CE,NCM auxiliary CE,NCM lighting CE,NCM DHW CE,NCM total CE [ex renewables],NCM heat pump heating CE
0.13841374,0.03740969,0.17582344,0.17582344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03740969,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17582344,,,,,,,,
0.13841374,0.047284294,0.18569803,0.18569803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.047284294,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18569803,,,,,,,,
0.13841374,0.052060373,0.19047412,0.19047412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.052060373,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19047412,,,,,,,,
0.13841374,0.045278177,0.18369192,0.18369192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.045278177,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18369192,,,,,,,,
0.13841374,0.0137919625,0.1522057,0.1522057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0137919625,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1522057,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0036975176,0.14211126,0.14211126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0036975176,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14211126,,,,,,,,
0.13841374,0.017373074,0.15578681,0.15578681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.017373074,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15578681,,,,,,,,
0.13841374,0.027170243,0.16558398,0.16558398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.027170243,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16558398,,,,,,,,
0.13841374,0.016043019,0.15445676,0.15445676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.016043019,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15445676,,,,,,,,
0.13841374,0.00022672006,0.13864046,0.13864046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00022672006,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13864046,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.14154539,0.0,0.14154539,0.14154539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.14154539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14154539,,,,,,,,
0.14075315,0.0,0.14075315,0.14075315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.14075315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14075315,,,,,,,,
0.1386006,0.0,0.1386006,0.1386006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.1386006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1386006,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.001566448,0.1399802,0.1399802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.001566448,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1399802,,,,,,,,
0.13841374,0.0028272604,0.141241,0.141241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0028272604,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141241,,,,,,,,
0.13841374,0.002934915,0.14134866,0.14134866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.002934915,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14134866,,,,,,,,
0.13841374,0.0020204124,0.14043416,0.14043416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0020204124,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14043416,,,,,,,,
0.13841374,0.0004015976,0.13881534,0.13881534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0004015976,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13881534,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
0.13841374,0.0,0.13841374,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.13841374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13841374,,,,,,,,
